,correlation,pvalue,abs_corr,Module,GS_PD
CKAP4,0.8339635585210519,1.84433577319833e-13,0.8339635585210519,green,0.667510976696936
ARPC1B,0.8323161128788217,2.271404462299338e-13,0.8323161128788217,lightcyan,0.647411859891355
EMP3,0.8297035124735201,3.145998575457602e-13,0.8297035124735201,lightcyan,0.647699885647346
NEURL1B,0.8288315307142823,3.503022793433065e-13,0.8288315307142823,green,0.60573854659373
MFAP4,0.8269819646748253,4.3914163320167885e-13,0.8269819646748253,green,0.643617504147246
CCND2,0.8266867874247363,4.551593383865276e-13,0.8266867874247363,green,0.742858694372277
MCAM,0.8257743478403857,5.082462406701351e-13,0.8257743478403857,green,0.657482674534001
IFI30,0.8238535687864998,6.397826747812888e-13,0.8238535687864998,greenyellow,0.625838754014326
MOV10,0.8219345159202145,8.029817005502959e-13,0.8219345159202145,greenyellow,0.658849240161514
CNN3,0.8218599580103993,8.100568158807621e-13,0.8218599580103993,green,0.615647233902739
KCNJ8,0.8208233659853064,9.147495774543185e-13,0.8208233659853064,green,0.600021317600326
FYN,0.8189053410345011,1.1431118079580094e-12,0.8189053410345011,green,0.551524751957144
PRCP,0.8186058320114504,1.1833135057986643e-12,0.8186058320114504,green,0.616247442629209
ACTB,0.8176573923180669,1.3196356238641182e-12,0.8176573923180669,green,0.640247898349802
ENSSSCG00000006418,0.8137610221834839,2.0519422875246304e-12,0.8137610221834839,greenyellow,0.59951026990047
COL1A2,0.8137498375597743,2.0545135823201978e-12,0.8137498375597743,green,0.579252559179828
ARPC5,0.8123347846888394,2.4056209444670125e-12,0.8123347846888394,grey60,0.582633984673726
POSTN,0.811353825956425,2.6815714306148574e-12,0.811353825956425,green,0.560574296658876
ITGB2,0.80933949911333,3.3448929354746725e-12,0.80933949911333,lightcyan,0.57115595601195
ARHGDIB,0.8086408731507798,3.609202910879543e-12,0.8086408731507798,lightcyan,0.629945967816386
PHF11,0.8078489010494732,3.932702425344014e-12,0.8078489010494732,greenyellow,0.597025087548762
PRXL2B,0.8076525287556524,4.017058821516337e-12,0.8076525287556524,green,0.805675946039916
NID1,0.8072106224295839,4.213194457817522e-12,0.8072106224295839,green,0.605995403047232
FKBP10,0.8070128595787055,4.303873749760445e-12,0.8070128595787055,green,0.667394718418848
SPARC,0.8066286334787576,4.4853559000928945e-12,0.8066286334787576,green,0.63228293859091
ENSSSCG00000039860,0.8064016674662773,4.595936091627866e-12,0.8064016674662773,green,0.723012054173737
VCAM1,0.8059358163305805,4.831035219897025e-12,0.8059358163305805,lightcyan,0.577643834661606
CHODL,0.8055834925273158,5.0163495492787545e-12,0.8055834925273158,lightgreen,0.677709335233282
DAP,0.8053106854717326,5.164438397108908e-12,0.8053106854717326,green,0.641499203459834
CDKN1C,0.8050906981741544,5.286857355235173e-12,0.8050906981741544,green,0.793358718371152
PLVAP,0.8047819192488186,5.46332537125228e-12,0.8047819192488186,green,0.608652351227074
STMN1,0.8036712748704273,6.14523979171624e-12,0.8036712748704273,green,0.748368028794354
ARRB2,0.8032697545587049,6.4110076868368144e-12,0.8032697545587049,lightcyan,0.649695943966146
LOXL2,0.8029716158668592,6.615341240269059e-12,0.8029716158668592,green,0.673351848985485
FCER1G,0.8021355492172306,7.22171551285503e-12,0.8021355492172306,lightcyan,0.59496304498149
JAM3,0.8019041487819527,7.398611850506674e-12,0.8019041487819527,green,0.628816045195546
PLP2,0.8001682306123814,8.862501893564427e-12,0.8001682306123814,green,0.75338923673136
FADS1,0.7995622728719771,9.435081339471853e-12,0.7995622728719771,green,0.743662148361195
SLA-DQB1,0.7995490810477842,9.447927188719921e-12,0.7995490810477842,lightcyan,0.580059784624943
DPYSL2,0.7995027397341388,9.493184353866752e-12,0.7995027397341388,green,0.572174340709898
LTBP1,0.7988735651118877,1.0128287231272345e-11,0.7988735651118877,green,0.542283174035891
GIMAP4,0.7985408323649692,1.0480191024051699e-11,0.7985408323649692,lightcyan,0.544626251063207
